Internal_ID,RA,DE,alpha_2_24,class_2_24
4379,85.20799999999998,-8.102305556,0.1090884417039568,flat
4381,85.21070833333334,-8.096861111,-0.0149128160713047,flat
4426,85.69604166666666,-8.285277778,0.9407985119608352,0/I
6390,83.85245833333335,-5.191583333,-0.3593018652573898,II
8166,83.86183333333334,-5.156833333,1.1669136161219509,0/I
3841,85.04075,-7.164916667,-0.8642936173759191,II
10476,84.78853,-2.94296,-2.1748914621269164,III thin disk
11150,82.91867828,-1.125910044,-1.7667307720458447,III thin disk
11450,81.41578674,1.638427019,-2.5763186032293897,III no disk / MS
11461,80.69982147,1.716727018,-2.1675036166270605,III thin disk
11467,81.05417633,1.778362989,-2.583753962484638,III no disk / MS
9789,86.8162,0.3566,-1.3887095617748155,II
